geoid,name,median,county,county subdivision,state
3200194238,"Dixie Valley CCD, Churchill County, Nevada",36250.0,001,94238,32
3200194308,"Fallon CCD, Churchill County, Nevada",46938.0,001,94308,32
3200194154,"Carson Sink CCD, Churchill County, Nevada",-666666666.0,001,94154,32
3200594378,"Genoa-Jacks Valley CCD, Douglas County, Nevada",68179.0,005,94378,32
3200594658,"Pine Nut CCD, Douglas County, Nevada",79583.0,005,94658,32
3200594952,"Zephyr Cove CCD, Douglas County, Nevada",61094.0,005,94952,32
3200594364,"Gardnerville-Minden CCD, Douglas County, Nevada",60142.0,005,94364,32
3200594826,"Topaz Lake CCD, Douglas County, Nevada",46081.0,005,94826,32
3201594070,"Battle Mountain CCD, Lander County, Nevada",83521.0,015,94070,32
3201594042,"Austin CCD, Lander County, Nevada",45570.0,015,94042,32
3202794518,"Lovelock CCD, Pershing County, Nevada",51250.0,027,94518,32
3202794448,"Imlay CCD, Pershing County, Nevada",52500.0,027,94448,32
3201394546,"McDermitt CCD, Humboldt County, Nevada",36336.0,013,94546,32
3200994420,"Goldfield CCD, Esmeralda County, Nevada",31389.0,009,94420,32
3201194098,"Beowawe CCD, Eureka County, Nevada",-666666666.0,011,94098,32
3201194294,"Eureka CCD, Eureka County, Nevada",70000.0,011,94294,32
3201394406,"Golconda CCD, Humboldt County, Nevada",48214.0,013,94406,32
3202194588,"Mina CCD, Mineral County, Nevada",50167.0,021,94588,32
3201394798,"Summit Lake CCD, Humboldt County, Nevada",67794.0,013,94798,32
3201394910,"Winnemucca CCD, Humboldt County, Nevada",76621.0,013,94910,32
3202194434,"Hawthorne CCD, Mineral County, Nevada",46806.0,021,94434,32
3202194868,"Walker River CCD, Mineral County, Nevada",26944.0,021,94868,32
3203394168,"Cherry Creek CCD, White Pine County, Nevada",-666666666.0,033,94168,32
3203394280,"Ely CCD, White Pine County, Nevada",61339.0,033,94280,32
3203394560,"McGill CCD, White Pine County, Nevada",53571.0,033,94560,32
3203394532,"Lund CCD, White Pine County, Nevada",77926.0,033,94532,32
3203394742,"Ruth CCD, White Pine County, Nevada",56991.0,033,94742,32
3203394056,"Baker CCD, White Pine County, Nevada",59000.0,033,94056,32
3200794882,"Wells CCD, Elko County, Nevada",60426.0,007,94882,32
3200794476,"Jackpot CCD, Elko County, Nevada",24840.0,007,94476,32
3200794896,"West Wendover CCD, Elko County, Nevada",48429.0,007,94896,32
3200794266,"Elko CCD, Elko County, Nevada",85530.0,007,94266,32
3200794602,"Montello CCD, Elko County, Nevada",-666666666.0,007,94602,32
3200794126,"Carlin CCD, Elko County, Nevada",74148.0,007,94126,32
3200794490,"Jarbidge CCD, Elko County, Nevada",71375.0,007,94490,32
3200794616,"Mountain City CCD, Elko County, Nevada",45000.0,007,94616,32
3201794014,"Alamo CCD, Lincoln County, Nevada",58363.0,017,94014,32
3201794112,"Caliente CCD, Lincoln County, Nevada",61023.0,017,94112,32
3201794672,"Pioche CCD, Lincoln County, Nevada",49012.0,017,94672,32
3202394028,"Amargosa Valley CCD, Nye County, Nevada",53508.0,023,94028,32
3202394728,"Round Mountain CCD, Nye County, Nevada",92750.0,023,94728,32
3202394644,"Pahrump CCD, Nye County, Nevada",43133.0,023,94644,32
3202394938,"Yucca Flat CCD, Nye County, Nevada",-666666666.0,023,94938,32
3202394252,"Duckwater CCD, Nye County, Nevada",41786.0,023,94252,32
3202994196,"Clark CCD, Storey County, Nevada",58702.0,029,94196,32
3202394350,"Gabbs CCD, Nye County, Nevada",34063.0,023,94350,32
3202394084,"Beatty CCD, Nye County, Nevada",34085.0,023,94084,32
3202394812,"Tonopah CCD, Nye County, Nevada",38178.0,023,94812,32
3202994854,"Virginia City CCD, Storey County, Nevada",67254.0,029,94854,32
3203194440,"High Desert CCD, Washoe County, Nevada",38611.0,031,94440,32
3203194804,"Sun Valley CCD, Washoe County, Nevada",46959.0,031,94804,32
3203194709,"Reno Southeast CCD, Washoe County, Nevada",50836.0,031,94709,32
3203194686,"Pyramid Lake CCD, Washoe County, Nevada",31800.0,031,94686,32
3203194840,"Verdi CCD, Washoe County, Nevada",92567.0,031,94840,32
3203194871,"Warm Springs-Truckee Canyon CCD, Washoe County, Nevada",82660.0,031,94871,32
3203194712,"Reno Southwest CCD, Washoe County, Nevada",72844.0,031,94712,32
3203194635,"North Valleys CCD, Washoe County, Nevada",61110.0,031,94635,32
3203194794,"Sparks CCD, Washoe County, Nevada",47408.0,031,94794,32
3203194874,"Washoe Valley CCD, Washoe County, Nevada",85344.0,031,94874,32
3203194703,"Reno North CCD, Washoe County, Nevada",47216.0,031,94703,32
3203194462,"Incline Village CCD, Washoe County, Nevada",81857.0,031,94462,32
3200394504,"Las Vegas CCD, Clark County, Nevada",52985.0,003,94504,32
3200394182,"Clark CCD, Clark County, Nevada",73339.0,003,94182,32
3251094140,"Carson City CCD, Carson City, Nevada",49341.0,510,94140,32
3201994224,"Dayton CCD, Lyon County, Nevada",53650.0,019,94224,32
3201994777,"Silver Springs CCD, Lyon County, Nevada",41673.0,019,94777,32
3201994784,"Smith Valley CCD, Lyon County, Nevada",77500.0,019,94784,32
3201994322,"Fernley CCD, Lyon County, Nevada",56742.0,019,94322,32
3201994924,"Yerington CCD, Lyon County, Nevada",42587.0,019,94924,32
3202394701,"Ralston Valley CCD, Nye County, Nevada",-666666666.0,023,94701,32
3200994770,"Silver Peak CCD, Esmeralda County, Nevada",48250.0,009,94770,32
