B19013D_001E,name,county,county subdivision,state
-666666666.0,"District 3, Sequatchie County, Tennessee",153,90534,47
-666666666.0,"District 4, Sequatchie County, Tennessee",153,90724,47
-666666666.0,"District 7, Scott County, Tennessee",151,91292,47
-666666666.0,"District 2, Sequatchie County, Tennessee",153,90344,47
-666666666.0,"District 5, Sequatchie County, Tennessee",153,90914,47
-666666666.0,"District 6, Sequatchie County, Tennessee",153,91104,47
-666666666.0,"District 4, Jackson County, Tennessee",087,90658,47
-666666666.0,"District 1, Jackson County, Tennessee",087,90088,47
-666666666.0,"District 7, Macon County, Tennessee",111,91252,47
-666666666.0,"District 6, Macon County, Tennessee",111,91062,47
-666666666.0,"District 4, Macon County, Tennessee",111,90682,47
-666666666.0,"District 5, Macon County, Tennessee",111,90872,47
-666666666.0,"District 8, Macon County, Tennessee",111,91442,47
-666666666.0,"District 9, Macon County, Tennessee",111,91632,47
-666666666.0,"District 10, Macon County, Tennessee",111,91822,47
-666666666.0,"District 5, Bledsoe County, Tennessee",007,90768,47
-666666666.0,"District 6, Bledsoe County, Tennessee",007,90958,47
-666666666.0,"District 1, Blount County, Tennessee",009,90010,47
-666666666.0,"District 2, Blount County, Tennessee",009,90200,47
-666666666.0,"District 3, Blount County, Tennessee",009,90390,47
-666666666.0,"District 4, Blount County, Tennessee",009,90580,47
-666666666.0,"District 5, Blount County, Tennessee",009,90770,47
-666666666.0,"District 6, Blount County, Tennessee",009,90960,47
-666666666.0,"District 7, Blount County, Tennessee",009,91150,47
-666666666.0,"District 8, Blount County, Tennessee",009,91340,47
30893.0,"District 9, Blount County, Tennessee",009,91530,47
-666666666.0,"District 10, Blount County, Tennessee",009,91720,47
-666666666.0,"District 1, Bradley County, Tennessee",011,90012,47
-666666666.0,"District 2, Bradley County, Tennessee",011,90202,47
39904.0,"District 3, Bradley County, Tennessee",011,90392,47
-666666666.0,"District 4, Bradley County, Tennessee",011,90582,47
-666666666.0,"District 5, Bradley County, Tennessee",011,90772,47
-666666666.0,"District 6, Bradley County, Tennessee",011,90962,47
-666666666.0,"District 7, Bradley County, Tennessee",011,91152,47
-666666666.0,"District 1, Campbell County, Tennessee",013,90014,47
-666666666.0,"District 2, Campbell County, Tennessee",013,90204,47
-666666666.0,"District 3, Campbell County, Tennessee",013,90394,47
-666666666.0,"District 4, Campbell County, Tennessee",013,90584,47
-666666666.0,"District 3, Cannon County, Tennessee",015,90396,47
-666666666.0,"District 5, Campbell County, Tennessee",013,90774,47
-666666666.0,"District 1, Cannon County, Tennessee",015,90016,47
-666666666.0,"District 2, Cannon County, Tennessee",015,90206,47
-666666666.0,"District 4, Cannon County, Tennessee",015,90586,47
-666666666.0,"District 5, Cannon County, Tennessee",015,90776,47
-666666666.0,"District 1, Carroll County, Tennessee",017,90018,47
-666666666.0,"District 2, Carroll County, Tennessee",017,90208,47
-666666666.0,"District 3, Carroll County, Tennessee",017,90398,47
-666666666.0,"District 4, Carroll County, Tennessee",017,90588,47
-666666666.0,"District 5, Carroll County, Tennessee",017,90778,47
-666666666.0,"District 6, Carroll County, Tennessee",017,90968,47
-666666666.0,"District 10, Jefferson County, Tennessee",089,91800,47
-666666666.0,"District 7, Jefferson County, Tennessee",089,91230,47
-666666666.0,"District 8, Jefferson County, Tennessee",089,91420,47
50885.0,"District 2, McMinn County, Tennessee",107,90298,47
-666666666.0,"District 5, Decatur County, Tennessee",039,90800,47
-666666666.0,"District 2, Decatur County, Tennessee",039,90230,47
-666666666.0,"District 3, Decatur County, Tennessee",039,90420,47
-666666666.0,"District 4, Decatur County, Tennessee",039,90610,47
-666666666.0,"District 6, Decatur County, Tennessee",039,90990,47
-666666666.0,"District 7, Decatur County, Tennessee",039,91180,47
-666666666.0,"District 8, Decatur County, Tennessee",039,91370,47
-666666666.0,"District 9, Decatur County, Tennessee",039,91560,47
-666666666.0,"District 1, DeKalb County, Tennessee",041,90042,47
-666666666.0,"District 2, DeKalb County, Tennessee",041,90232,47
-666666666.0,"District 3, DeKalb County, Tennessee",041,90422,47
-666666666.0,"District 4, DeKalb County, Tennessee",041,90612,47
-666666666.0,"District 5, DeKalb County, Tennessee",041,90802,47
-666666666.0,"District 6, DeKalb County, Tennessee",041,90992,47
-666666666.0,"District 7, DeKalb County, Tennessee",041,91182,47
-666666666.0,"District 1, Dickson County, Tennessee",043,90044,47
-666666666.0,"District 2, Dickson County, Tennessee",043,90234,47
-666666666.0,"District 6, Dickson County, Tennessee",043,90994,47
-666666666.0,"District 3, Dickson County, Tennessee",043,90424,47
-666666666.0,"District 4, Dickson County, Tennessee",043,90614,47
-666666666.0,"District 5, Dickson County, Tennessee",043,90804,47
-666666666.0,"District 10, Dickson County, Tennessee",043,91754,47
-666666666.0,"District 7, Dickson County, Tennessee",043,91184,47
-666666666.0,"District 8, Dickson County, Tennessee",043,91374,47
-666666666.0,"District 9, Dickson County, Tennessee",043,91564,47
-666666666.0,"District 11, Dickson County, Tennessee",043,91944,47
-666666666.0,"District 12, Dickson County, Tennessee",043,92134,47
-666666666.0,"District 1, Dyer County, Tennessee",045,90046,47
-666666666.0,"District 6, Lewis County, Tennessee",101,91052,47
-666666666.0,"District 7, Lewis County, Tennessee",101,91242,47
