B19001B_001E,B19001B_002E,B19001B_003E,B19001B_004E,B19001B_005E,B19001B_006E,B19001B_007E,B19001B_008E,B19001B_009E,B19001B_010E,B19001B_011E,B19001B_012E,B19001B_013E,B19001B_014E,B19001B_015E,B19001B_016E,B19001B_017E,name,county,county subdivision,state
3741.0,214.0,58.0,40.0,118.0,69.0,203.0,133.0,175.0,84.0,278.0,507.0,550.0,390.0,363.0,308.0,251.0,"District 1, Vansville; Prince George's County; Maryland",033,90064,24
6674.0,70.0,140.0,153.0,134.0,101.0,99.0,108.0,139.0,120.0,344.0,477.0,1135.0,916.0,781.0,1037.0,920.0,"District 3, Marlboro; Prince George's County; Maryland",033,90248,24
12081.0,317.0,272.0,130.0,465.0,397.0,422.0,417.0,485.0,536.0,1210.0,1636.0,1894.0,1290.0,977.0,850.0,783.0,"District 10, Laurel; Prince George's County; Maryland",033,90892,24
24074.0,895.0,482.0,453.0,660.0,790.0,898.0,798.0,556.0,623.0,1919.0,2803.0,3432.0,3096.0,2106.0,2598.0,1965.0,"District 13, Kent; Prince George's County; Maryland",033,91164,24
31629.0,1595.0,820.0,1219.0,1200.0,1161.0,1370.0,1535.0,1675.0,1497.0,2972.0,3953.0,4535.0,3565.0,1760.0,1859.0,913.0,"District 6, Spauldings; Prince George's County; Maryland",033,90524,24
14825.0,324.0,175.0,172.0,200.0,61.0,245.0,394.0,309.0,248.0,848.0,1303.0,2129.0,2141.0,1642.0,2075.0,2559.0,"District 7, Queen Anne; Prince George's County; Maryland",033,90616,24
1902.0,102.0,61.0,66.0,122.0,64.0,52.0,34.0,111.0,124.0,194.0,101.0,367.0,208.0,61.0,144.0,91.0,"District 16, Hyattsville; Prince George's County; Maryland",033,91440,24
9182.0,479.0,144.0,274.0,298.0,318.0,208.0,207.0,393.0,489.0,791.0,1374.0,1282.0,929.0,636.0,641.0,719.0,"District 20, Lanham; Prince George's County; Maryland",033,91808,24
9095.0,452.0,302.0,187.0,198.0,304.0,341.0,353.0,525.0,314.0,906.0,1186.0,1310.0,1023.0,774.0,625.0,295.0,"District 21, Berwyn; Prince George's County; Maryland",033,91900,24
20645.0,796.0,505.0,640.0,528.0,598.0,914.0,834.0,1165.0,878.0,1852.0,2787.0,2999.0,2529.0,1496.0,1355.0,769.0,"District 12, Oxon Hill; Prince George's County; Maryland",033,91072,24
327.0,0.0,0.0,10.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,46.0,24.0,180.0,"District 4, Nottingham; Prince George's County; Maryland",033,90340,24
9768.0,213.0,93.0,144.0,305.0,151.0,152.0,70.0,176.0,160.0,505.0,479.0,1152.0,1382.0,1191.0,1666.0,1929.0,"District 5, Piscataway; Prince George's County; Maryland",033,90432,24
6535.0,135.0,110.0,43.0,154.0,169.0,88.0,77.0,135.0,161.0,361.0,578.0,962.0,677.0,637.0,1265.0,983.0,"District 14, Bowie; Prince George's County; Maryland",033,91256,24
7905.0,134.0,132.0,136.0,99.0,99.0,233.0,146.0,231.0,92.0,313.0,782.0,948.0,1116.0,981.0,1138.0,1325.0,"District 15, Mellwood; Prince George's County; Maryland",033,91348,24
11248.0,875.0,543.0,331.0,488.0,518.0,495.0,465.0,335.0,670.0,837.0,1259.0,1757.0,1116.0,755.0,487.0,317.0,"District 18, Seat Pleasant; Prince George's County; Maryland",033,91624,24
11463.0,473.0,291.0,662.0,502.0,474.0,583.0,502.0,587.0,620.0,1079.0,1518.0,1847.0,969.0,479.0,702.0,175.0,"District 17, Chillum; Prince George's County; Maryland",033,91532,24
1571.0,17.0,59.0,44.0,129.0,41.0,27.0,45.0,51.0,72.0,127.0,248.0,191.0,189.0,81.0,188.0,62.0,"District 19, Riverdale; Prince George's County; Maryland",033,91716,24
232.0,8.0,13.0,0.0,40.0,0.0,13.0,1.0,26.0,10.0,14.0,20.0,32.0,3.0,4.0,27.0,21.0,"District 8, Aquasco; Prince George's County; Maryland",033,90708,24
5642.0,264.0,133.0,194.0,117.0,45.0,90.0,262.0,338.0,130.0,396.0,476.0,919.0,797.0,446.0,687.0,348.0,"District 1, Anne Arundel County, Maryland",003,90008,24
9657.0,238.0,185.0,222.0,192.0,199.0,165.0,146.0,226.0,297.0,480.0,1167.0,2266.0,1392.0,639.0,1000.0,843.0,"District 4, Anne Arundel County, Maryland",003,90284,24
6851.0,296.0,230.0,259.0,209.0,270.0,449.0,346.0,301.0,404.0,510.0,829.0,1075.0,607.0,496.0,352.0,218.0,"District 2, Anne Arundel County, Maryland",003,90100,24
4254.0,490.0,239.0,261.0,187.0,271.0,144.0,157.0,193.0,170.0,211.0,536.0,375.0,538.0,179.0,221.0,82.0,"District 6, Anne Arundel County, Maryland",003,90468,24
1881.0,111.0,15.0,0.0,0.0,42.0,42.0,20.0,32.0,95.0,92.0,260.0,240.0,128.0,250.0,393.0,161.0,"District 3, Anne Arundel County, Maryland",003,90192,24
1028.0,44.0,17.0,0.0,20.0,68.0,31.0,8.0,24.0,0.0,91.0,168.0,174.0,131.0,60.0,162.0,30.0,"District 5, Anne Arundel County, Maryland",003,90376,24
2243.0,53.0,62.0,176.0,61.0,39.0,32.0,70.0,94.0,57.0,50.0,200.0,425.0,278.0,229.0,150.0,267.0,"District 7, Anne Arundel County, Maryland",003,90560,24
6304.0,303.0,135.0,177.0,234.0,303.0,109.0,265.0,318.0,323.0,565.0,690.0,869.0,860.0,506.0,455.0,192.0,"District 3, Baltimore County, Maryland",005,90196,24
7125.0,488.0,201.0,275.0,198.0,163.0,215.0,311.0,440.0,495.0,584.0,924.0,900.0,867.0,444.0,382.0,238.0,"District 4, Baltimore County, Maryland",005,90288,24
7066.0,690.0,227.0,292.0,264.0,423.0,343.0,386.0,457.0,309.0,560.0,788.0,827.0,678.0,524.0,201.0,97.0,"District 9, Baltimore County, Maryland",005,90748,24
2737.0,161.0,0.0,125.0,0.0,37.0,27.0,34.0,228.0,57.0,277.0,310.0,420.0,412.0,203.0,266.0,180.0,"District 11, Baltimore County, Maryland",005,90932,24
49.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,9.0,"District 7, Baltimore County, Maryland",005,90564,24
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Baltimore County, Maryland",005,90380,24
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,"District 6, Baltimore County, Maryland",005,90472,24
1922.0,194.0,194.0,198.0,73.0,62.0,182.0,48.0,142.0,95.0,236.0,180.0,71.0,44.0,31.0,154.0,18.0,"District 13, Baltimore County, Maryland",005,91112,24
5672.0,281.0,179.0,166.0,222.0,211.0,207.0,208.0,391.0,344.0,655.0,616.0,1047.0,470.0,284.0,238.0,153.0,"District 14, Baltimore County, Maryland",005,91204,24
