C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
1566.0,1472.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,0.0,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",198,48873,02
2362.0,2232.0,16.0,10.0,1.0,0.0,1.0,0.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,7.0,5.0,0.0,0.0,20.0,0.0,"Wrangell census subarea, Wrangell City and Borough, Alaska",275,86420,02
1972.0,1760.0,19.0,20.0,23.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,14.0,4.0,15.0,0.0,0.0,77.0,11.0,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",105,33390,02
61.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",105,40560,02
5538.0,2552.0,300.0,154.0,9.0,3.0,20.0,0.0,19.0,2.0,35.0,5.0,14.0,0.0,0.0,2.0,66.0,165.0,792.0,645.0,262.0,214.0,7.0,4.0,203.0,65.0,"Aleutians West census subarea, Aleutians West Census Area, Alaska",016,01615,02
869.0,795.0,22.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",060,09050,02
12672.0,9590.0,407.0,139.0,22.0,0.0,0.0,5.0,27.0,40.0,14.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,552.0,912.0,129.0,695.0,6.0,0.0,84.0,25.0,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",150,41200,02
6921.0,4501.0,64.0,47.0,14.0,0.0,12.0,0.0,9.0,4.0,9.0,2.0,5.0,14.0,0.0,0.0,0.0,0.0,20.0,6.0,21.0,7.0,0.0,0.0,1925.0,261.0,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",188,56270,02
8360.0,7493.0,82.0,60.0,8.0,0.0,54.0,0.0,13.0,10.0,8.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,177.0,133.0,52.0,97.0,0.0,0.0,128.0,26.0,"Sitka census subarea, Sitka City and Borough, Alaska",220,70590,02
1266.0,959.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,59.0,"Aniak census subarea, Bethel Census Area, Alaska",050,03580,02
14806.0,4930.0,110.0,17.0,0.0,0.0,9.0,0.0,1.0,55.0,20.0,52.0,23.0,99.0,10.0,0.0,0.0,0.0,34.0,0.0,64.0,2.0,0.0,0.0,7243.0,2137.0,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",050,45510,02
9016.0,6106.0,229.0,8.0,7.0,7.0,42.0,0.0,27.0,25.0,14.0,0.0,14.0,6.0,27.0,3.0,5.0,0.0,179.0,123.0,110.0,67.0,0.0,0.0,1567.0,450.0,"North Slope census subarea, North Slope Borough, Alaska",185,55970,02
7116.0,3915.0,26.0,28.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,22.0,2.0,7.0,2.0,0.0,0.0,2720.0,382.0,"Kusilvak census subarea, Kusilvak Census Area, Alaska",158,42185,02
3057.0,2496.0,239.0,54.0,4.0,0.0,9.0,0.0,2.0,2.0,9.0,0.0,7.0,3.0,22.0,19.0,0.0,3.0,54.0,16.0,16.0,61.0,0.0,0.0,26.0,15.0,"Petersburg census subarea, Petersburg Borough, Alaska",195,60360,02
92201.0,82462.0,2005.0,1016.0,569.0,0.0,789.0,0.0,349.0,112.0,388.0,108.0,252.0,252.0,128.0,209.0,21.0,53.0,503.0,243.0,743.0,325.0,36.0,0.0,1451.0,187.0,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",090,24450,02
12896.0,11611.0,161.0,38.0,10.0,6.0,11.0,4.0,13.0,0.0,36.0,18.0,11.0,13.0,8.0,3.0,21.0,5.0,284.0,370.0,32.0,78.0,5.0,5.0,109.0,44.0,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",130,39010,02
93735.0,87055.0,1596.0,242.0,192.0,26.0,481.0,47.0,1166.0,575.0,279.0,41.0,55.0,59.0,110.0,37.0,14.0,0.0,236.0,157.0,181.0,179.0,3.0,0.0,776.0,228.0,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",170,47440,02
8890.0,6147.0,59.0,3.0,7.0,2.0,19.0,0.0,10.0,0.0,14.0,0.0,5.0,7.0,3.0,0.0,8.0,31.0,30.0,26.0,22.0,26.0,0.0,0.0,2101.0,370.0,"Nome census subarea, Nome Census Area, Alaska",180,54970,02
4488.0,2736.0,67.0,10.0,11.0,0.0,3.0,4.0,10.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,4.0,17.0,1.0,26.0,3.0,0.0,1358.0,213.0,"Dillingham census subarea, Dillingham Census Area, Alaska",070,19000,02
2372.0,2106.0,83.0,18.0,63.0,0.0,2.0,0.0,26.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,9.0,5.0,0.0,0.0,39.0,3.0,"Haines census subarea, Haines Borough, Alaska",100,31160,02
634.0,543.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,20.0,2.0,2.0,0.0,0.0,33.0,10.0,"Yakutat census subarea, Yakutat City and Borough, Alaska",282,86498,02
30505.0,26850.0,798.0,207.0,55.0,0.0,219.0,35.0,137.0,35.0,158.0,33.0,21.0,12.0,28.0,29.0,28.0,23.0,603.0,688.0,90.0,135.0,0.0,0.0,282.0,39.0,"Juneau census subarea, Juneau City and Borough, Alaska",110,36450,02
